"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2024","108.33","107.92","108.40","107.81","103.92K","0.35%"
"30/12/2024","107.95","108.71","109.00","107.30","486.84K","-0.96%"
"27/12/2024","109.00","109.31","109.82","108.61","317.10K","-0.02%"
"24/12/2024","109.02","108.94","109.07","108.84","559.87K","0.78%"
"23/12/2024","108.18","108.63","108.66","107.70","271.80K","-0.45%"
"20/12/2024","108.67","107.00","108.67","105.96","331.99K","0.65%"
"19/12/2024","107.97","108.27","108.45","107.54","1.30M","-2.47%"
"18/12/2024","110.70","110.74","110.94","110.50","800.34K","-0.05%"
"17/12/2024","110.75","111.45","111.45","110.47","461.92K","-0.31%"
"16/12/2024","111.09","110.91","111.50","110.81","268.79K","0.24%"
"13/12/2024","110.82","111.05","111.38","110.60","493.45K","-0.55%"
"12/12/2024","111.43","111.60","111.60","111.23","2.64M","-0.19%"
"11/12/2024","111.64","110.83","111.64","110.74","1.24M","0.48%"
"10/12/2024","111.11","111.24","111.37","111.09","2.96M","-0.47%"
"09/12/2024","111.63","112.19","112.19","111.44","613.37K","-0.29%"
"06/12/2024","111.95","111.69","112.08","111.62","492.75K","0.05%"
"05/12/2024","111.89","111.74","112.00","111.73","2.55M","0.26%"
"04/12/2024","111.60","111.27","111.60","111.21","1.18M","0.56%"
"03/12/2024","110.98","111.01","111.22","110.85","455.59K","0.18%"
"02/12/2024","110.78","110.38","110.86","110.37","794.34K","0.18%"
"29/11/2024","110.58","110.19","110.62","110.04","2.42M","0.37%"
"28/11/2024","110.17","110.03","110.21","109.99","88.26K","0.25%"
"27/11/2024","109.89","110.06","110.17","109.73","1.70M","0.09%"
"26/11/2024","109.79","109.38","109.97","109.34","5.65M","-0.01%"
"25/11/2024","109.80","109.85","110.27","109.74","2.04M","0.66%"
"22/11/2024","109.08","109.13","109.34","108.37","962.28K","0.29%"
"21/11/2024","108.77","108.18","108.88","107.80","304.51K","1.11%"
"20/11/2024","107.58","108.65","108.74","107.40","308.49K","-0.52%"
"19/11/2024","108.14","108.27","108.39","106.97","2.08M","-0.06%"
"18/11/2024","108.21","107.75","108.21","107.39","1.52M","0.47%"
"15/11/2024","107.70","108.24","108.52","107.59","1.64M","-1.51%"
"14/11/2024","109.35","109.25","109.59","109.16","112.05K","-0.03%"
"13/11/2024","109.38","109.02","109.61","108.83","238.32K","0.02%"
"12/11/2024","109.36","109.86","109.98","109.34","1.61M","-0.77%"
"11/11/2024","110.21","110.13","110.41","110.06","254.50K","0.41%"
"08/11/2024","109.76","109.93","109.97","109.39","366.46K","0.03%"
"07/11/2024","109.73","109.02","109.85","108.97","1.30M","1.24%"
"06/11/2024","108.39","108.51","109.30","107.86","745.88K","1.36%"
"05/11/2024","106.94","106.17","106.94","106.02","132.55K","0.73%"
"04/11/2024","106.16","106.32","106.59","106.00","695.97K","-0.42%"
"01/11/2024","106.61","105.84","106.83","105.80","258.20K","0.66%"
"31/10/2024","105.91","106.78","106.93","105.71","657.52K","-1.78%"
"30/10/2024","107.83","107.96","108.06","107.28","1.16M","0.09%"
"29/10/2024","107.73","107.96","108.04","107.38","207.28K","-0.13%"
"28/10/2024","107.87","107.93","108.04","107.66","156.10K","-0.04%"
"25/10/2024","107.91","107.46","108.27","107.42","142.69K","0.56%"
"24/10/2024","107.31","107.48","108.07","107.29","105.66K","0.03%"
"23/10/2024","107.28","107.91","108.09","107.23","86.72K","-0.64%"
"22/10/2024","107.97","108.78","108.78","107.65","324.86K","0.04%"
"21/10/2024","107.93","108.66","108.81","107.92","283.16K","-0.73%"
"18/10/2024","108.72","108.42","108.78","108.42","576.33K","0.05%"
"17/10/2024","108.67","109.06","109.06","108.32","166.22K","0.58%"
"16/10/2024","108.04","107.90","108.32","107.79","162.20K","-0.30%"
"15/10/2024","108.37","108.84","108.91","108.21","533.62K","-0.32%"
"14/10/2024","108.72","108.18","108.80","108.08","320.46K","0.47%"
"11/10/2024","108.21","107.55","108.31","107.38","173.96K","0.60%"
"10/10/2024","107.56","107.69","107.78","107.27","221.38K","-0.01%"
"09/10/2024","107.57","106.84","107.57","106.74","204.78K","0.61%"
"08/10/2024","106.92","106.31","107.05","106.15","399.33K","-0.18%"
"07/10/2024","107.11","107.23","107.27","106.64","258.77K","0.44%"
"04/10/2024","106.64","106.49","107.31","106.41","254.47K","0.15%"
