"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2025","247.04","230.09","249.90","225.72","719.90M","4.68%"
"01/01/2025","236.00","248.93","249.10","219.38","1.20B","-5.76%"
"12/01/2024","250.42","237.27","260.10","237.16","977.94M","5.52%"
"11/01/2024","237.33","220.97","237.81","219.71","891.64M","5.06%"
"10/01/2024","225.91","229.52","237.49","221.33","930.84M","-3.04%"
"09/01/2024","233.00","228.55","233.09","213.92","1.23B","1.75%"
"08/01/2024","229.00","224.37","232.92","196.00","1.12B","3.12%"
"07/01/2024","222.08","212.09","237.23","211.92","1.15B","5.44%"
"06/01/2024","210.62","192.90","220.20","192.15","1.72B","9.56%"
"05/01/2024","192.25","169.58","193.00","169.11","1.34B","12.87%"
"04/01/2024","170.33","171.19","178.36","164.07","1.25B","-0.67%"
"03/01/2024","171.48","179.55","180.53","168.49","1.43B","-5.13%"
"02/01/2024","180.75","183.99","191.05","179.25","1.16B","-1.98%"
"01/01/2024","184.40","187.15","196.38","180.17","1.19B","-4.22%"
"12/01/2023","192.53","190.33","199.62","187.45","1.06B","1.36%"
"11/01/2023","189.95","171.00","192.93","170.12","1.10B","11.23%"
"10/01/2023","170.77","171.22","182.34","165.67","1.17B","-0.26%"
"09/01/2023","171.21","189.49","189.98","167.62","1.34B","-8.87%"
"08/01/2023","187.87","196.24","196.73","171.96","1.32B","-4.37%"
"07/01/2023","196.45","193.78","198.23","186.60","996.37M","1.28%"
"06/01/2023","193.97","177.70","194.48","176.93","1.30B","9.43%"
"05/01/2023","177.25","169.28","179.35","164.31","1.28B","4.46%"
"04/01/2023","169.68","164.27","169.85","159.78","969.78M","2.90%"
"03/01/2023","164.90","146.83","165.00","143.90","1.52B","11.86%"
