"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2025","33.15","33.01","34.69","32.90","1.07M","-0.76%"
"01/01/2025","33.40","32.82","33.50","32.08","974.10K","1.92%"
"12/01/2024","32.77","32.89","34.00","32.65","961.08K","-0.06%"
"11/01/2024","32.79","32.78","33.74","32.44","649.22K","0.78%"
"10/01/2024","32.53","33.12","34.34","32.40","883.85K","-1.65%"
"09/01/2024","33.08","31.44","33.63","30.40","828.60K","5.03%"
"08/01/2024","31.50","31.89","32.00","28.73","606.30K","-1.47%"
"07/01/2024","31.97","31.89","32.83","31.05","878.30K","-0.14%"
"06/01/2024","32.01","31.07","32.28","30.20","705.72K","5.19%"
"05/01/2024","30.43","30.88","31.92","30.41","982.37K","-0.62%"
"04/01/2024","30.62","30.60","30.83","29.46","834.61K","1.46%"
"03/01/2024","30.18","29.50","30.25","29.31","792.64K","2.95%"
"02/01/2024","29.32","28.39","29.78","28.31","916.23K","3.40%"
"01/01/2024","28.35","28.75","28.94","27.00","708.39K","-1.29%"
"12/01/2023","28.72","28.01","28.80","27.86","784.86K","2.26%"
"11/01/2023","28.08","26.72","28.33","26.70","615.77K","5.48%"
"10/01/2023","26.63","27.86","28.13","26.55","702.66K","-4.31%"
"09/01/2023","27.83","28.02","28.65","27.63","585.16K","-0.22%"
"08/01/2023","27.89","29.18","29.22","27.14","925.52K","-4.41%"
"07/01/2023","29.17","28.14","29.18","27.42","647.70K","5.00%"
"06/01/2023","27.78","27.22","28.84","27.11","707.29K","2.70%"
"05/01/2023","27.05","26.87","27.65","26.48","1.14M","0.91%"
"04/01/2023","26.81","27.38","27.64","26.28","621.78K","-2.33%"
"03/01/2023","27.44","27.77","28.06","26.40","992.22K","0.53%"
