Date,Price,Open,High,Low,Vol.,Change %,Normalized Price
2023-03-01,4109.31,3963.34,4110.75,3808.86,,3.51,0.0
2023-04-01,4169.48,4102.2,4170.06,4049.35,,1.46,0.031156471039031963
2023-05-01,4179.83,4166.79,4231.1,4048.28,,0.25,0.03651577759136693
2023-06-01,4450.38,4183.03,4458.48,4171.64,,6.47,0.17660856867679486
2023-07-01,4588.96,4450.48,4607.07,4385.05,,3.11,0.24836631766448125
2023-08-01,4507.66,4578.83,4584.62,4335.31,,-1.77,0.206268576340344
2023-09-01,4288.05,4530.6,4541.25,4238.63,,-4.87,0.09255289402553801
2023-10-01,4193.8,4284.52,4393.57,4103.78,,-2.2,0.04374954691852784
2023-11-01,4567.8,4201.27,4587.64,4197.74,,8.92,0.23740951315748582
2023-12-01,4769.83,4559.43,4793.3,4546.5,,4.42,0.3420221414442679
2024-01-01,4845.65,4745.2,4931.09,4682.11,,1.59,0.38128229823634774
2024-02-01,5096.27,4861.11,5111.06,4853.52,,5.17,0.5110551879123042
2024-03-01,5254.35,5098.51,5264.85,5056.82,,3.1,0.5929101811290272
2024-04-01,5035.69,5257.97,5263.95,4953.56,,-4.16,0.47968641584076366
2024-05-01,5277.51,5029.03,5341.88,5011.05,,4.8,0.6049026004287446
2024-06-01,5460.48,5297.15,5523.64,5234.32,,3.47,0.6996458197408888
2024-07-01,5522.3,5471.08,5669.67,5390.95,,1.13,0.7316566729839167
2024-08-01,5648.4,5537.84,5651.62,5119.26,,2.28,0.7969521856650199
2024-09-01,5762.48,5623.89,5767.37,5402.62,,2.02,0.8560236534418655
2024-10-01,5705.45,5757.73,5878.46,5674.0,,-0.99,0.8264930976274063
2024-11-01,6032.38,5723.22,6044.17,5696.51,,5.73,0.9957798697196591
2024-12-01,5881.63,6040.11,6099.97,5832.3,,-2.5,0.9177204047182608
2025-01-01,6040.53,5903.26,6128.18,5773.31,0.00K,2.7,1.0
2025-02-01,5955.25,5939.38,6147.54,5908.49,,-1.41,0.9558413852383465
