"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2025","135.49","137.36","140.18","135.16","89.46K","-2.43%"
"01/01/2025","138.87","134.30","139.28","132.96","109.06K","3.10%"
"12/01/2024","134.70","135.00","136.97","131.40","76.97K","0.11%"
"11/01/2024","134.54","126.24","135.69","126.20","89.67K","6.60%"
"10/01/2024","126.21","125.88","130.18","124.96","43.35K","0.80%"
"09/01/2024","125.21","123.53","126.31","118.80","36.27K","1.75%"
"08/01/2024","123.05","123.65","124.90","111.84","57.92K","-0.35%"
"07/01/2024","123.48","122.72","125.26","120.23","49.70K","0.31%"
"06/01/2024","123.10","119.40","123.75","117.82","32.74K","4.74%"
"05/01/2024","117.53","115.76","120.53","115.50","66.84K","0.80%"
"04/01/2024","116.60","119.00","119.09","113.86","57.39K","-1.47%"
"03/01/2024","118.34","114.94","118.39","114.00","28.33K","3.54%"
"02/01/2024","114.29","110.21","114.85","109.67","48.40K","3.71%"
"01/01/2024","110.20","107.44","110.99","106.00","42.12K","3.04%"
"12/01/2023","106.94","103.58","107.79","103.39","26.18K","3.69%"
"11/01/2023","103.13","97.98","103.50","97.90","14.61K","5.72%"
"10/01/2023","97.56","101.11","102.53","96.82","20.21K","-3.62%"
"09/01/2023","101.23","102.63","104.74","100.50","13.49K","-1.43%"
"08/01/2023","102.69","103.97","104.04","98.74","16.47K","-1.08%"
"07/01/2023","103.81","101.52","103.80","98.90","14.93K","2.80%"
"06/01/2023","100.98","98.04","102.02","97.94","10.30K","3.48%"
"05/01/2023","97.58","95.98","99.00","93.95","8.91K","2.32%"
"04/01/2023","95.38","95.79","96.55","93.75","14.51K","0.52%"
"03/01/2023","94.88","95.21","96.76","91.16","6.55K","-0.23%"
