"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2025","130.02","130.98","131.06","129.90","114.34K","-0.44%"
"03/25/2025","130.60","130.46","130.86","130.28","158.69K","0.11%"
"03/24/2025","130.46","129.60","130.62","129.40","180.45K","1.62%"
"03/21/2025","128.38","128.52","128.66","127.54","93.17K","-0.28%"
"03/20/2025","128.74","129.06","129.62","127.96","137.36K","0.22%"
"03/19/2025","128.46","127.36","128.66","127.34","96.73K","0.99%"
"03/18/2025","127.20","127.82","128.28","126.78","177.82K","-0.39%"
"03/17/2025","127.70","127.02","128.14","126.82","273.21K","0.49%"
"03/14/2025","127.08","126.04","127.38","125.78","137.37K","1.18%"
"03/13/2025","125.60","125.88","126.68","125.40","173.69K","-0.63%"
"03/12/2025","126.40","125.70","127.20","124.94","276.50K","1.07%"
"03/11/2025","125.06","126.60","126.84","124.64","239.77K","-1.82%"
"03/10/2025","127.38","129.38","129.40","127.04","183.00K","-0.79%"
"03/07/2025","128.40","129.72","130.00","128.30","186.92K","-1.62%"
"03/06/2025","130.52","131.32","131.44","129.70","142.18K","0.17%"
"03/05/2025","130.30","132.20","132.44","130.24","178.46K","-1.21%"
"03/04/2025","131.90","134.44","134.50","131.54","226.38K","-3.09%"
"03/03/2025","136.10","137.24","137.34","135.86","243.93K","0.21%"
"02/28/2025","135.82","135.44","136.10","134.82","174.28K","-1.15%"
"02/27/2025","137.40","137.04","137.68","136.34","90.17K","0.13%"
"02/26/2025","137.22","136.84","137.50","136.58","124.33K","1.33%"
"02/25/2025","135.42","136.88","137.10","135.22","197.37K","-1.43%"
"02/24/2025","137.38","137.76","138.20","136.62","179.55K","-1.15%"
"02/21/2025","138.98","139.04","139.60","138.74","79.26K","0.19%"
"02/20/2025","138.72","139.70","139.96","138.64","119.66K","-0.91%"
"02/19/2025","140.00","140.00","140.18","139.36","85.94K","0.30%"
"02/18/2025","139.58","139.78","140.14","139.42","108.20K","0.10%"
"02/17/2025","139.44","139.18","139.52","139.14","129.54K","0.53%"
"02/14/2025","138.70","139.18","139.24","138.54","83.28K","-0.16%"
"02/13/2025","138.92","138.34","139.04","138.04","109.80K","0.45%"
"02/12/2025","138.30","138.94","139.48","137.98","134.35K","-0.62%"
"02/11/2025","139.16","139.20","139.36","138.86","125.48K","-0.29%"
"02/10/2025","139.56","139.08","139.72","138.96","90.45K","0.65%"
"02/07/2025","138.66","138.84","139.44","138.40","125.89K","-0.14%"
"02/06/2025","138.86","138.48","139.04","138.46","87.08K","1.08%"
"02/05/2025","137.38","137.02","137.40","136.68","116.95K","-0.33%"
"02/04/2025","137.84","137.50","137.92","136.84","112.86K","0.04%"
"02/03/2025","137.78","137.16","137.86","136.70","294.82K","-0.78%"
"01/31/2025","138.86","138.60","139.20","138.58","125.93K","0.89%"
"01/30/2025","137.64","137.56","138.02","137.16","87.95K","0.36%"
"01/29/2025","137.14","137.62","137.86","137.02","117.08K","0.47%"
"01/28/2025","136.50","136.22","136.96","135.84","119.72K","1.20%"
"01/27/2025","134.88","135.46","135.52","133.50","238.85K","-1.65%"
"01/24/2025","137.14","137.52","137.60","136.86","123.44K","-0.35%"
"01/23/2025","137.62","137.36","137.78","137.08","85.40K","0.10%"
"01/22/2025","137.48","137.02","137.48","136.82","82.91K","0.73%"
"01/21/2025","136.48","136.36","137.04","136.22","94.52K","0.04%"
"01/20/2025","136.42","136.90","137.00","136.14","120.65K","-0.44%"
"01/17/2025","137.02","136.06","137.20","135.96","82.80K","0.90%"
"01/16/2025","135.80","136.28","136.32","135.60","76.81K","0.31%"
"01/15/2025","135.38","133.44","135.56","133.36","114.58K","1.55%"
"01/14/2025","133.32","134.28","134.50","133.10","117.83K","-0.16%"
"01/13/2025","133.54","133.48","133.90","132.82","181.31K","-0.13%"
"01/10/2025","133.72","134.74","135.02","133.42","116.61K","-0.99%"
"01/09/2025","135.06","134.66","135.08","134.60","53.80K","0.04%"
"01/08/2025","135.00","134.96","135.44","134.42","102.92K","0.06%"
"01/07/2025","134.92","134.90","135.70","134.68","177.33K","-0.71%"
"01/06/2025","135.88","135.32","136.04","135.00","216.48K","0.47%"
"01/03/2025","135.24","134.78","135.24","134.40","157.59K","-0.18%"
"01/02/2025","135.48","134.28","135.48","133.98","437.84K","1.70%"
"12/30/2024","133.22","134.04","134.32","133.10","93.46K","-0.85%"
"12/27/2024","134.36","135.10","135.30","133.86","144.26K","0.45%"
"12/23/2024","133.76","134.06","134.20","133.36","191.27K","-0.22%"
"12/20/2024","134.06","132.66","134.06","131.26","189.82K","0.16%"
"12/19/2024","133.84","133.40","134.16","133.20","160.13K","-1.43%"
"12/18/2024","135.78","135.68","136.04","135.36","84.66K","0.21%"
"12/17/2024","135.50","135.52","135.84","135.08","127.28K","-0.34%"
"12/16/2024","135.96","135.64","136.24","135.48","125.58K","0.13%"
"12/13/2024","135.78","136.48","136.62","135.46","89.90K","-0.47%"
"12/12/2024","136.42","136.54","136.76","136.10","116.06K","-0.20%"
"12/11/2024","136.70","135.78","136.76","135.66","80.97K","0.51%"
"12/10/2024","136.00","135.64","136.20","135.58","108.22K","0.04%"
"12/09/2024","135.94","136.46","136.52","135.60","142.81K","-0.07%"
"12/06/2024","136.04","135.62","136.38","135.40","80.16K","0.06%"
"12/05/2024","135.96","136.14","136.40","135.72","113.33K","-0.07%"
"12/04/2024","136.06","135.98","136.78","135.80","97.96K","0.31%"
"12/03/2024","135.64","135.90","135.94","135.36","109.12K","-0.09%"
"12/02/2024","135.76","135.02","135.88","134.88","179.78K","0.89%"
"11/29/2024","134.56","133.80","134.60","133.74","79.02K","0.40%"
"11/28/2024","134.02","134.08","134.20","133.80","59.32K","0.40%"
"11/27/2024","133.48","134.52","134.56","133.32","125.12K","-0.80%"
"11/26/2024","134.56","134.14","134.68","133.74","100.14K","0.07%"
"11/25/2024","134.46","135.02","135.06","134.24","119.42K","-0.27%"
"11/22/2024","134.82","133.60","135.18","133.56","91.43K","1.16%"
"11/21/2024","133.28","132.16","133.42","131.80","85.58K","1.12%"
"11/20/2024","131.80","132.26","132.50","131.46","67.13K","0.03%"
"11/19/2024","131.76","131.92","131.98","130.28","86.71K","-0.08%"
"11/18/2024","131.86","131.50","131.86","131.02","96.63K","0.38%"
"11/15/2024","131.36","131.96","132.14","131.36","158.04K","-1.19%"
"11/14/2024","132.94","133.00","133.78","132.66","95.15K","-0.08%"
"11/13/2024","133.04","132.34","133.04","131.90","86.62K","0.30%"
"11/12/2024","132.64","132.88","133.12","132.50","99.46K","-0.47%"
"11/11/2024","133.26","132.88","133.56","132.80","125.25K","0.97%"
"11/08/2024","131.98","131.78","131.98","130.94","102.06K","0.46%"
"11/07/2024","131.38","131.08","131.50","130.96","105.19K","0.74%"
"11/06/2024","130.42","130.52","131.56","129.96","129.19K","2.71%"
"11/05/2024","126.98","126.50","127.08","126.22","82.50K","0.54%"
"11/04/2024","126.30","126.50","126.66","126.00","96.57K","-0.74%"
"11/01/2024","127.24","126.22","127.42","126.20","227.27K","0.81%"
"10/31/2024","126.22","127.10","127.22","125.92","112.23K","-1.59%"
"10/30/2024","128.26","128.94","128.98","128.04","97.55K","-0.62%"
"10/29/2024","129.06","129.12","129.32","128.84","65.86K","0.06%"
"10/28/2024","128.98","129.16","129.24","128.62","60.49K","-0.03%"
"10/25/2024","129.02","128.56","129.26","128.40","66.63K","0.34%"
"10/24/2024","128.58","129.00","129.34","128.56","60.40K","-0.22%"
"10/23/2024","128.86","129.60","129.80","128.78","71.53K","-0.29%"
"10/22/2024","129.24","129.30","129.40","128.68","81.81K","0.12%"
"10/21/2024","129.08","129.64","129.74","129.00","83.09K","-0.45%"
"10/18/2024","129.66","129.62","129.94","129.40","86.56K","-0.06%"
"10/17/2024","129.74","129.28","130.26","129.14","59.06K","0.79%"
"10/16/2024","128.72","128.48","128.82","128.24","47.05K","0.08%"
"10/15/2024","128.62","129.38","129.44","128.42","123.58K","-0.36%"
"10/14/2024","129.08","128.42","129.34","128.30","102.17K","0.69%"
"10/11/2024","128.20","127.46","128.34","127.18","66.73K","0.36%"
"10/10/2024","127.74","127.78","127.80","127.10","97.82K","0.17%"
"10/09/2024","127.52","126.54","127.52","126.38","66.36K","0.62%"
"10/08/2024","126.74","125.72","126.80","125.60","89.19K","-0.24%"
"10/07/2024","127.04","127.26","127.30","126.70","136.58K","0.35%"
"10/04/2024","126.60","125.84","127.36","125.72","103.70K","0.60%"
"10/03/2024","125.84","125.94","126.00","125.30","71.73K","-0.29%"
"10/02/2024","126.20","125.82","126.22","125.26","105.03K","0.57%"
"10/01/2024","125.48","125.82","126.40","124.92","230.54K","0.22%"
"09/30/2024","125.20","125.34","125.58","124.58","97.50K","-0.29%"
"09/27/2024","125.56","125.66","125.82","125.32","82.42K","0.29%"
"09/26/2024","125.20","125.50","126.18","125.10","79.20K","0.58%"
"09/25/2024","124.48","123.84","124.56","123.80","47.65K","0.02%"
"09/24/2024","124.46","124.72","124.76","123.98","52.65K","0.23%"
"09/23/2024","124.18","123.60","124.30","123.56","77.24K","0.73%"
"09/20/2024","123.28","123.64","123.86","123.10","61.74K","-0.63%"
"09/19/2024","124.06","123.42","124.26","123.22","86.15K","1.42%"
"09/18/2024","122.32","122.66","122.70","122.18","48.51K","-0.49%"
"09/17/2024","122.92","122.62","123.12","122.56","63.50K","0.64%"
"09/16/2024","122.14","122.30","122.54","121.84","","-0.46%"
"09/13/2024","122.70","122.26","122.74","122.00","39.99K","0.69%"
"09/12/2024","121.86","122.12","122.40","121.28","43.93K","1.72%"
"09/11/2024","119.80","120.28","120.86","119.20","55.80K","-0.42%"
"09/10/2024","120.30","120.04","120.68","119.94","87.95K","0.10%"
"09/09/2024","120.18","119.58","120.46","119.54","115.63K","1.13%"
"09/06/2024","118.84","119.96","120.92","118.60","74.30K","-1.31%"
"09/05/2024","120.42","120.82","121.38","120.12","77.85K","-0.61%"
"09/04/2024","121.16","120.78","121.54","120.70","102.18K","-1.08%"
"09/03/2024","122.48","123.78","123.82","122.02","97.17K","-0.95%"
"09/02/2024","123.66","123.48","123.74","123.20","150.89K","0.52%"
"08/30/2024","123.02","123.12","123.50","122.96","45.51K","-0.32%"
"08/29/2024","123.42","122.18","123.56","122.12","96.60K","1.13%"
"08/28/2024","122.04","122.46","122.80","121.96","46.23K","0.03%"
"08/27/2024","122.00","122.10","122.32","121.70","56.54K","0.07%"
"08/26/2024","121.92","122.14","122.66","121.84","59.93K","-0.15%"
"08/23/2024","122.10","121.86","122.56","121.58","44.26K","0.08%"
"08/22/2024","122.00","122.00","122.62","121.96","69.03K","0.07%"
"08/21/2024","121.92","121.82","122.38","121.70","37.93K","0.18%"
"08/20/2024","121.70","122.42","122.60","121.62","89.96K","-0.33%"
"08/19/2024","122.10","121.62","122.16","121.52","66.47K","0.30%"
"08/16/2024","121.74","122.08","122.16","121.28","69.21K","0.10%"
"08/15/2024","121.62","119.98","121.68","119.80","107.60K","1.74%"
"08/14/2024","119.54","119.54","119.58","118.68","106.64K","0.18%"
"08/13/2024","119.32","118.86","119.38","118.38","73.67K","0.86%"
"08/12/2024","118.30","118.50","118.84","118.00","70.02K","0.22%"
"08/09/2024","118.04","117.82","118.62","117.46","135.92K","0.32%"
"08/08/2024","117.66","115.72","117.72","115.08","105.95K","0.14%"
"08/07/2024","117.50","116.50","117.90","116.28","238.58K","1.59%"
"08/06/2024","115.66","115.62","116.22","114.58","259.39K","0.75%"
"08/05/2024","114.80","114.16","114.98","111.80","339.47K","-2.31%"
"08/02/2024","117.52","120.44","120.52","117.08","187.37K","-3.86%"
"08/01/2024","122.24","123.64","124.00","122.24","190.01K","-1.02%"
"07/31/2024","123.50","122.82","123.56","122.70","71.66K","1.56%"
"07/30/2024","121.60","121.98","122.50","121.50","62.73K","0.05%"
"07/29/2024","121.54","122.10","122.62","121.54","92.20K","0.16%"
"07/26/2024","121.34","120.86","121.54","120.74","98.25K","0.21%"
"07/25/2024","121.08","121.06","121.24","120.10","150.35K","-0.51%"
"07/24/2024","121.70","122.52","122.84","121.54","116.16K","-1.63%"
"07/23/2024","123.72","122.90","123.74","122.78","74.23K","0.90%"
"07/22/2024","122.62","122.38","123.18","122.28","91.24K","0.43%"
"07/19/2024","122.10","122.72","122.86","122.08","101.09K","-0.70%"
"07/18/2024","122.96","123.88","124.08","122.94","103.18K","-0.50%"
"07/17/2024","123.58","124.56","124.62","123.46","135.08K","-1.04%"
"07/16/2024","124.88","124.50","125.14","124.20","90.40K","0.10%"
"07/15/2024","124.76","124.76","124.94","124.42","128.45K","-0.06%"
"07/12/2024","124.84","124.34","124.88","124.00","65.05K","0.48%"
"07/11/2024","124.24","124.96","125.00","124.22","90.74K","-0.14%"
"07/10/2024","124.42","123.88","124.42","123.86","63.56K","0.45%"
"07/09/2024","123.86","123.88","124.14","123.78","73.62K","0.15%"
"07/08/2024","123.68","123.56","123.90","123.50","82.48K","0.21%"
"07/05/2024","123.42","123.56","123.64","123.14","59.52K","-0.03%"
"07/04/2024","123.46","123.56","123.76","123.36","71.46K","0.28%"
"07/03/2024","123.12","123.12","123.34","122.90","66.37K","0.33%"
"07/02/2024","122.72","122.38","122.72","122.06","85.10K","0.16%"
"07/01/2024","122.52","122.60","122.80","122.12","202.51K","-0.54%"
"06/28/2024","123.18","123.30","123.72","123.04","66.05K","0.41%"
"06/27/2024","122.68","122.90","123.02","122.66","66.17K","-0.07%"
"06/26/2024","122.76","123.22","123.46","122.62","76.61K","0.03%"
"06/25/2024","122.72","122.46","122.86","122.32","78.30K","-0.13%"
"06/24/2024","122.88","122.60","122.94","122.30","93.07K","0.15%"
"06/21/2024","122.70","122.82","123.06","122.46","67.25K","-0.29%"
"06/20/2024","123.06","123.04","124.00","122.82","71.10K","0.36%"
